Spanish,English
dentro,inside
casi,almost
ves,yousee
persona,person
quizás,maybe
entiendo,Iunderstand
puerta,door
hacia,toward
semana,week
primero,first
pasar,pass
espero,wait
niños,children
significa,means
año,year
tío,uncle
suerte,luck
juntos,together
hey,Hey
ciudad,city
pronto,soon
feliz,happy
siquiera,even
minutos,minutes
gustaría,wouldlike
venir,come
cuánto,howmuch
muerte,death
realidad,reality
hija,daughter
dejar,leave
problemas,issues
vi,saw
corazón,heart
deja,leaves
dijiste,said
importante,important
miedo,fear
jefe,boss
os,you
agua,water
horas,hours
justo,fair
haré,Iwilldo
da,gives
esposa,wife
buenos,good
manos,hands
debes,youmust
ojos,eyes
nuestros,our
viene,comes
mano,hand
adelante,forward
poder,can
otros,others
cinco,five
viejo,old
bajo,low
encontrar,find
niño,child
cara,expensive
ninguna,none
cuidado,careful
cerca,near
noches,nights
venga,comeon
mas,further
déjame,letme
bastante,quite
fin,end
escucha,listen
único,only
tomar,take
ningún,none
misma,same
suficiente,enough
haya,is
equipo,equipment
grande,big
punto,spot
cuándo,when
algunos,some
hubiera,had
necesita,needs
llegar,arrive
sigue,goon
clase,class
pequeño,little
coche,car
cuatro,four
incluso,even
allá,there
tierra,land
primer,first
llama,calls
difícil,difficult
aunque,although
hago,do
arriba,above
doctor,doctor
hiciste,did
dices,Yousay
toma,take
guerra,war
pensar,think
última,last
loco,crazy
pueda,Ican
mujeres,women
sangre,blood
fui,Iwas
igual,equal
vuelta,lap
cuerpo,body
tenido,had
trabajar,work
ok,okay
deberías,youshould
juego,game
e,and
algunas,some
cree,Believe
entrar,getin
fiesta,party
podía,could
oportunidad,chance
auto,car
listo,ready
quieren,Theywant
debemos,must
estabas,Youwere
final,final
necesitamos,need
muchos,many
vete,goaway
teléfono,phone
meses,months
vivir,live
número,number
dar,give
posible,possible
exactamente,exactly
abajo,below
hermana,sister
escuela,school
habla,speaks
capitán,captain
culpa,blame
eran,were
atrás,back
ello,it
ido,gone
chicas,girls
esté,this
diciendo,saying
pregunta,ask
segundo,second
unas,nails
fuerte,strong
malo,bad
dame,givetome
conozco,know
bebé,baby
pasando,going
sabemos,weknow
mayor,elderly
vino,came
morir,die
comida,meal
fácil,easy
comer,eat
lista,list
necesitas,youneed
creer,believe
haga,make
probablemente,probably
fueron,were
pensando,thinking
dime,tellme
habitación,room
tuve,Ihad
hijos,children
buscando,searching
padres,parents
